analysis_id,analysis_name,database_id,total_fails,min_sample_size,max_sample_size,prop_with_calendar_time,prop_in_age_range,prop_with_age_at_first_obs,prop_with_ethnicity_criteria,prop_with_gender_criteria,prop_with_longitudinal_criteria,prop_with_race_criteria,prop_with_required_comparator_concepts,prop_with_required_domain,prop_with_required_outcome_concepts,prop_with_required_target_concepts,prop_meas_records_with_values,prop_with_procedure_criteria,prop_with_observation_criteria,prop_with_death_criteria
1,DPP4I main_GLP1RA main_3-point MACE,premier_2326_20230125,3,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,ccpp_v54_20210101,4,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,HKU-THIN,5,0,-12724481,1,0,NA,0,0,0,0,1,0,1,1,NA,NA,NA,NA
1,DPP4I main_GLP1RA main_3-point MACE,omop_20190828,NA,NA,48480,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,US_OPEN_CLAIMS_20230313,0,2797753,13190780,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,US_PharMetrics_Plus_20230330,0,546343,1455410,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,optum_extended_ses_2327_20230204,0,433598,953930,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,optum_extended_dod_2323_20230201,0,433595,953920,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,truven_ccae_2324_20230201,0,397219,936040,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,optum_ehr_2247_20221205,0,262584,913790,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,truven_mdcr_2322_20230127,0,120964,150100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,pmtx_202203_20220831,0,108591,293530,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,jmdc_2325_20230126,0,97761,195580,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,VA-OMOP_20230411,0,77503,522110,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,Japan_Claims_20230215,0,44250,128600,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,UK_IMRD_THIN_20221230,0,40675,76320,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,truven_mdcd_2359_20230215,0,36976,171320,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,IQVIA_Germany_DA_20230124,0,36211,177780,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,UK_IMRD_EMIS_20230215,0,16790,38460,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,LPD_Spain_20220704,0,10616,33650,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,JHM_OMOP_20230406,0,7300,19650,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,LPD_Italy_20221226,0,7179,15830,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,US_Hospital_20230130,0,5983,31740,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,France_LPD_20230118,0,5475,21290,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,CUIMC_20221214,0,4366,37640,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,Australia_EMR_20230317,0,2683,20240,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,IQVIA_Belgium_LPD_20221006,0,2208,6490,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,AUSOM_20220228,0,1500,6850,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,TMUCRD_20210406,0,1475,10740,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,IQVIA_France_DA_20230201,0,728,3130,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,Japan_HIS_20220120,0,281,7370,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,RED_CDM_Tufts_20221005,0,83,1360,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
2,DPP4I main_SGLT2I main_3-point MACE,ktph_sg_NA,1,93,140,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA
